code,name,market,signalDate,drawdownPct,leaderScore,leaderGrade,rs20,risk,stabilize,liquidityScore,entryPrice,r3,r5,r10,r20,mfe,mae,excessPct,scoutStatus,reboundState,rankingTier,signalsForThisCodeInBucket
475830,오름테라퓨틱,KOSDAQ,20260623,-60.75,5.6,D,48,55,51,21,,13.273649635036495,5.244452554744524,-13.45992700729927,-13.186204379562042,15.693430656934314,-16.423357664233574,-0.47,관찰 목록,early,6,4
476830,알지노믹스,KOSDAQ,20260623,-65.25,,계산불가,3,85,20,17,,9.415909645909656,7.218107448107443,-22.3301221001221,-30.87713064713065,18.43711843711844,-23.56532356532357,-9.34,추가매수 금지,risk,6,4
491000,리브스메드,KOSDAQ,20260623,-60.73,,계산불가,2,70,2,16,,10.881111111111116,3.426821378340358,-3.1835864978902926,7.786877637130793,15.33052039381153,-11.251758087201125,9.81,추가매수 금지,risk,6,3
099320,쎄트렉아이,KOSDAQ,20260625,-60.33,19.3,D,4,45,40,7,,11.81819277108433,3.0230120481927716,5.9145783132530125,-9.627590361445785,14.819277108433738,-11.204819277108435,10.66,정찰병 1주,early,6,3
032820,우리기술,KOSDAQ,20260626,-61.88,35.3,D,30,55,40,34,,0.48620411817368003,4.06722470904208,-4.5272247090420805,-19.38846016114593,15.487914055505826,-12.35452103849597,2.33,관찰 목록,early,6,3
115180,큐리언트,KOSDAQ,20260626,-61.32,4.3,D,19,55,25,3,,6.335656565656574,2.0427272727272707,-9.775454545454547,-14.77545454545455,19.191919191919183,-12.62626262626263,-2.92,관찰 목록,falling,6,3
000250,삼천당제약,KOSDAQ,20260629,-79.86,17.6,D,11,55,40,14,,-9.552033898305083,-15.060508474576277,-23.95881355932204,-46.628305084745755,1.6949152542372836,-26.65254237288136,-8.7,정찰병 1주,early,6,6
293490,카카오게임즈,KOSDAQ,20260630,-66.98,5.6,D,37,70,18,5,,-3.609224030037542,2.398285356695881,-2.607972465581979,-6.362665832290363,9.511889862327916,-5.882352941176472,7.91,추가매수 금지,risk,6,4
140410,메지온,KOSDAQ,20260701,-64.33,14.4,D,61,30,42,0,,-5.630981996726673,-10.704631751227492,-13.650621931260224,-3.666988543371522,6.710310965630106,-24.959083469721765,0.19,정찰병 1주,early,2,4
030530,원익홀딩스,KOSDAQ,20260702,-61.93,5.2,D,22,55,40,1,,-11.147979359043994,1.834095600217275,-15.819353612167301,7.646154263986956,12.982074959261269,-16.132536664856055,-0.79,관찰 목록,early,6,2
100790,미래에셋벤처투자,KOSDAQ,20260703,-73.13,26,D,1,55,40,9,,-17.979863462588746,-16.12295466957946,-27.428252321135997,-21.092916439104318,3.659202621518287,-29.601310759148003,-13.01,정찰병 1주,early,4,3
010170,대한광통신,KOSDAQ,20260706,-61.07,45.3,D,3,40,40,34,,12.471252236135962,-1.3927906976744207,-9.97955277280859,7.730644007155637,21.19856887298748,-19.23076923076923,2.04,관찰 목록,early,6,2
043260,성호전자,KOSDAQ,20260706,-60.06,25.8,D,1,55,40,32,,7.033922518159815,-11.029031476997579,-13.014503631961265,-8.220314769975781,10.895883777239712,-25.32687651331719,-0.99,관찰 목록,early,4,2
065350,신성델타테크,KOSDAQ,20260706,-75.68,2,D,12,55,23,8,,-13.337511045655374,-18.49215022091311,-23.646789396170835,-6.415567010309279,3.092783505154628,-26.36229749631811,-11.62,정찰병 1주,falling,4,14
001440,대한전선,KOSPI,20260708,-61,35.5,D,8,55,40,18,,-0.9392198581560294,-2.003049645390068,-0.5846099290780091,-4.130709219858156,11.702127659574458,-13.120567375886527,0.24,정찰병 1주,early,6,2
038500,삼표시멘트,KOSDAQ,20260708,-61.53,24.2,D,29,45,40,13,,0.29631578947368586,-0.3615789473684159,-2.861578947368418,3.7173684210526328,14.868421052631575,-9.078947368421053,3.24,정찰병 1주,early,6,2
090710,휴림로봇,KOSDAQ,20260708,-69.67,6.3,D,5,55,40,12,,0.6902453987730008,-2.223865030674846,0.3834969325153339,6.825214723926384,21.47239263803682,-10.73619631901841,6.48,정찰병 1주,early,6,3
214370,케어젠,KOSDAQ,20260708,-60.49,12.9,D,53,40,37,9,,5.503558178752118,3.81721753794266,-4.614485666104555,11.068482293423273,15.00843170320405,-11.804384485666109,1.48,관찰 목록,early,6,2
272210,한화시스템,KOSPI,20260708,-60.11,17.4,D,4,55,42,4,,-3.1757364341085257,1.3203875968992276,5.506434108527133,9.382403100775202,13.33333333333333,-8.372093023255811,6.33,관찰 목록,early,6,2
298380,에이비엘바이오,KOSDAQ,20260708,-66.8,8,D,67,40,65,2,,-8.604384236453203,-7.126551724137935,-11.067438423645319,6.420246305418727,5.418719211822665,-17.364532019704438,-4.97,하락 정지 확인,stopped,6,4
323280,태성,KOSDAQ,20260708,-61.04,9.7,D,17,55,40,5,,-1.3728571428571454,5.34142857142856,-9.515714285714287,11.055714285714277,16.57142857142857,-12.857142857142856,-3.42,관찰 목록,early,6,2
347700,스피어,KOSDAQ,20260708,-64.69,19.4,D,7,55,60,10,,7.9365765278528855,1.9333315305570555,-7.801660356949705,24.431979448350468,20.876149269875597,-7.73391022174148,-1.7,관찰 목록,early,6,3
475830,오름테라퓨틱,KOSDAQ,20260708,-66.91,6.3,D,34,70,28,0,,-6.493048016701467,-5.449206680584554,-5.240438413361174,28.997557411273498,5.427974947807934,-18.058455114822547,0.86,추가매수 금지,risk,6,4
476830,알지노믹스,KOSDAQ,20260708,-72.97,,계산불가,20,85,15,7,,-8.41619582664526,1.054109149277679,-14.51571428571429,3.7828410914927804,11.07544141252006,-20.86677367576244,-8.42,추가매수 금지,risk,6,4
491000,리브스메드,KOSDAQ,20260708,-62.21,,계산불가,59,55,22,0,,4.987391304347818,9.480144927536234,7.0163768115942124,33.68304347826088,30.57971014492753,-0.5797101449275366,13.12,정찰병 1주,falling,6,3
377300,카카오페이,KOSPI,20260709,-60.07,5.6,D,34,30,48,8,,7.329681697612741,5.075039787798415,18.4702652519894,17.011379310344818,22.546419098143232,-0.3978779840848823,19.62,하락 정지 확인,stopped,2,1
028300,HLB,KOSDAQ,20260710,-61.8,13.5,D,49,55,43,13,,19.22854483925551,2.646480541455151,2.646480541455151,41.73277495769883,36.88663282571911,-18.274111675126903,21.73,정찰병 1주,falling,6,8
087010,펩트론,KOSDAQ,20260710,-71.09,0.7,D,2,55,25,52,,9.12779816513762,-2.707064220183489,30.962660550458704,68.9443119266055,35.96330275229358,-10.09174311926605,50.05,정찰병 1주,falling,6,2
032820,우리기술,KOSDAQ,20260713,-63.52,31.7,D,37,55,26,9,,-14.663962264150946,-6.079056603773584,-24.00358490566037,8.260566037735858,5.283018867924527,-29.71698113207547,-4.23,관찰 목록,falling,4,3
099320,쎄트렉아이,KOSDAQ,20260713,-63.55,5.8,D,40,40,28,0,,-4.85724935732648,0.2841388174807249,-21.438226221079695,5.425526992287907,10.53984575835476,-28.277634961439592,-1.66,정찰병 1주,falling,6,3
115180,큐리언트,KOSDAQ,20260713,-64.81,5.3,D,30,55,27,9,,-9.596236679753225,-7.745423443634328,-15.316932136848008,34.094172742568716,5.5524397083567045,-19.629837352776224,4.46,관찰 목록,falling,4,3
000250,삼천당제약,KOSDAQ,20260714,-84.8,5.7,D,31,55,40,7,,-7.6251434878587245,-8.563333333333338,-28.54125827814569,4.516136865342154,40.17660044150111,-33.774834437086085,-4.95,정찰병 1주,early,4,6
085660,차바이오텍,KOSDAQ,20260714,-61.51,8.6,D,46,45,6,1,,-6.080487540628392,-3.15524377031419,-13.231083423618632,2.5869014084507005,4.7670639219935085,-17.65980498374865,10.36,정찰병 1주,falling,6,1
218410,RFHIC,KOSDAQ,20260714,-60.22,25.9,D,4,55,27,14,,-4.725614035087714,5.4717543859649185,-22.817719298245613,18.84894736842106,14.035087719298245,-23.903508771929825,0.77,관찰 목록,falling,4,1
310210,보로노이,KOSDAQ,20260714,-60.14,8.4,D,41,40,42,25,,-13.494604810996561,-8.477422680412376,-30.951649484536084,23.962439862542958,6.116838487972509,-32.98969072164949,-7.36,관찰 목록,early,4,1
293490,카카오게임즈,KOSDAQ,20260715,-66.81,10.7,D,66,40,69,0,,-4.348404118404118,-1.7744015444015413,2.3440025740025763,,4.118404118404118,-9.909909909909908,17.06,하락 정지 확인,stopped,2,4
083650,비에이치아이,KOSDAQ,20260716,-61.05,5.1,D,16,55,40,6,,13.40088057901085,6.887008443908323,2.665054282267795,,14.475271411338952,-20.024125452352227,7.95,관찰 목록,early,6,1
140410,메지온,KOSDAQ,20260716,-69.37,10.5,D,62,30,40,0,,3.299411764705892,18.593529411764706,27.8092156862745,,31.56862745098039,-3.627450980392155,33.1,정찰병 1주,early,2,4
437730,삼현,KOSDAQ,20260716,-60.38,4.2,D,10,55,40,0,,33.16191564147628,17.168945518453423,42.300755711775054,,50.96660808435853,-8.96309314586995,47.59,관찰 목록,early,6,1
011070,LG이노텍,KOSPI,20260720,-60.65,53.9,C,0,30,27,2,,3.7633444259567352,-14.705873544093176,-12.87559068219634,,16.139767054908493,-30.78202995008319,-15.96,관찰 목록,falling,6,1
030530,원익홀딩스,KOSDAQ,20260720,-68.09,3.8,D,14,55,29,7,,5.78163542340013,-3.7852682611506125,31.638131868131865,,37.362637362637365,-14.608920491273436,26.05,정찰병 1주,falling,6,2
047040,대우건설,KOSPI,20260720,-60.86,34.1,D,17,40,40,12,,7.289325368938867,-5.851925509487003,6.58658468025299,,15.952213633169364,-22.13633169360506,3.51,관찰 목록,early,4,1
058610,에스피지,KOSDAQ,20260720,-60.4,8.3,D,42,40,41,6,,16.003766233766246,10.159610389610393,76.39337662337661,,86.68831168831169,-0.9740259740259716,70.8,관찰 목록,early,6,1
078600,대주전자재료,KOSDAQ,20260720,-60.83,29.7,D,22,55,31,0,,5.232184873949582,-5.55212885154062,19.097731092436973,,24.649859943977592,-17.226890756302527,13.5,정찰병 1주,falling,6,3
