strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,baselineTestAvgPct,verdict
Leader_D + Risk_25~39,"leaderGrade in [D] AND scoutRiskScore between [25,39]",5,cooldown,108,31,139,-0.37,0.19,-0.25,-0.56,0.89,1.04,51.61,0.17,-0.75,10.31,-8.5,80.65,61.29,61.29,54.84,-71,false,leaderGrade×risk,2.56,역효과
Leader_D + Risk_25~39,"leaderGrade in [D] AND scoutRiskScore between [25,39]",10,cooldown,76,18,94,0.7,-0.06,0.56,0.76,1.19,0.99,50,0.27,-1.69,14.54,-11.72,94.44,72.22,66.67,55.56,-70.44,true,leaderGrade×risk,5.57,역효과
Leader_D + Risk_40~50,"leaderGrade in [D] AND scoutRiskScore between [40,50]",5,cooldown,76,50,126,0.23,-1.8,-0.58,2.03,1.09,0.71,46,-2.93,-0.83,8.43,-10.54,58,50,86,70,-87.08,true,leaderGrade×risk,2.56,역효과
Leader_D + Risk_40~50,"leaderGrade in [D] AND scoutRiskScore between [40,50]",10,cooldown,48,33,81,0.67,-0.2,0.32,0.87,1.2,0.97,42.42,-3.61,-0.74,12.86,-12.64,69.7,66.67,87.88,69.7,-80.75,true,leaderGrade×risk,5.57,역효과
Leader_D + Risk_51~64,"leaderGrade in [D] AND scoutRiskScore between [51,64]",5,cooldown,3,25,28,-1.5,-1.94,-1.89,0.44,0.5,0.67,52,0.12,-1.25,7.89,-10.28,72,60,80,60,-72.16,false,leaderGrade×risk,2.56,표본부족
Leader_D + Risk_51~64,"leaderGrade in [D] AND scoutRiskScore between [51,64]",10,cooldown,2,17,19,3.2,-2.47,-1.87,5.67,,0.7,35.29,-2.15,-1.28,13.5,-12.15,88.24,76.47,82.35,58.82,-76.9,true,leaderGrade×risk,5.57,표본부족
Leader_D + Risk_65+,"leaderGrade in [D] AND scoutRiskScore between [65,100]",5,cooldown,0,0,0,,,,,,,,,,,,,,,,0,false,leaderGrade×risk,2.56,표본부족
Leader_D + Risk_65+,"leaderGrade in [D] AND scoutRiskScore between [65,100]",10,cooldown,0,0,0,,,,,,,,,,,,,,,,0,false,leaderGrade×risk,5.57,표본부족
Leader_A + Stab_<45,leaderGrade in [A] AND scoutStabilizeScore lt 45,5,cooldown,0,1,1,,11.11,11.11,,,,100,11.11,1.98,12.45,-0.19,100,100,0,0,0,false,leaderGrade×stab,2.56,표본부족
Leader_A + Stab_<45,leaderGrade in [A] AND scoutStabilizeScore lt 45,10,cooldown,0,1,1,,34.71,34.71,,,,100,34.71,7.45,35.13,-0.19,100,100,0,0,0,false,leaderGrade×stab,5.57,표본부족
Leader_A + Stab_45~64,"leaderGrade in [A] AND scoutStabilizeScore between [45,64]",5,cooldown,7,11,18,-0.83,0.49,-0.02,-1.32,0.72,1.09,63.64,4.99,-0.95,11.21,-8.3,100,90.91,72.73,54.55,-36.87,false,leaderGrade×stab,2.56,역효과
Leader_A + Stab_45~64,"leaderGrade in [A] AND scoutStabilizeScore between [45,64]",10,cooldown,7,10,17,0.09,3.38,2.03,-3.29,1.03,1.33,50,0.06,2.54,23.74,-15.08,100,90,90,80,-71.13,false,leaderGrade×stab,5.57,역효과
Leader_A + Stab_65~79,"leaderGrade in [A] AND scoutStabilizeScore between [65,79]",5,cooldown,17,35,52,0.87,4.82,3.53,-3.95,1.29,2.17,65.71,5.38,2.08,12.93,-7.63,88.57,74.29,65.71,48.57,-48.37,false,leaderGrade×stab,2.56,유망
Leader_A + Stab_65~79,"leaderGrade in [A] AND scoutStabilizeScore between [65,79]",10,cooldown,14,30,44,1.26,5.28,4,-4.02,1.26,1.8,63.33,8.46,0.7,20.45,-11.72,90,80,73.33,53.33,-63.25,false,leaderGrade×stab,5.57,역효과
